,Poniedziałek,Wtorek,Środa,Czwartek,Piątek
0,,16:45-18:15 # (102),14:00-14:45 # (102),15:00-16:30,"08:00-11:15 # (3),(101)"
1,,Podstawy sztucznej,Uczenie maszynowe,Informatyka ekon. (Wyk),Data science (Lab)
2,,inteligencji (Wyk),(Wyk),audyt. C CEUE,Sala 3.17 CEUE
3,,audyt. C CEUE,Sala 2.1 CEUE,IiE RI G01 - dz I,Szkoła Doktorska R2
4,,IiE RIII G01 AG - dz I,IiE RII G01 AG - dz II,IiE RI G02 - dz I,
5,,IiE RIII G02 EB - dz I,IiE RII G02 IwGiA - dz II,IiE RI G03 - dz I,
6,,IiE RIII G03 EB - dz I,,IiE RI G04 - dz I,
7,,IiE RIII G04 IwGiA - dz I,,IiE RI G05 - dz I,
8,,IiE RIII G05 IF - dz I,,IiE RI G06 - dz I,
9,,,,16:40-17:25,
10,,,,Algorytmy i str.danych,
11,,,,(Wyk),
12,,,,audyt. C CEUE,
13,,,,IiE RI G01 - dz I,
14,,,,IiE RI G02 - dz I,
15,,,,IiE RI G03 - dz I,
16,,,,IiE RI G04 - dz I,
17,,,,IiE RI G05 - dz I,
18,,,,IiE RI G06 - dz I,
19,,,,18:30-20:00 # (100),
20,,,,Progr.i arch.syst.komp.,
21,,,,(Wyk),
22,,,,Sala 4.12 CEUE,
23,,,,IiE RII G01 AG - dz II,
24,,,,IiE RII G02 IwGiA - dz II,
